benchmark,histogram,query,operator_count,operator_type,real_input,real_output,estimated_input,estimated_output
TPC-H,EqualDistinctCountHistogram,TPC-H 15,1,TableScan,59986052,2247222,59986052.000000,1949143.875000
TPC-H,EqualDistinctCountHistogram,TPC-H 16,0,JoinHashLeft,8000000,1191024,8000000.000000,2003.137085
TPC-H,EqualDistinctCountHistogram,TPC-H 16,1,TableScan,100000,56,100000.000000,10000.000000
TPC-H,EqualDistinctCountHistogram,TPC-H 16,2,TableScan,2000000,39934,2000000.000000,39934.000000
TPC-H,EqualDistinctCountHistogram,TPC-H 16,3,TableScan,2000000,39989,2000000.000000,39989.000000
TPC-H,EqualDistinctCountHistogram,TPC-H 16,4,TableScan,2000000,40385,2000000.000000,40385.000000
TPC-H,EqualDistinctCountHistogram,TPC-H 16,5,TableScan,2000000,40231,2000000.000000,40231.000000
TPC-H,EqualDistinctCountHistogram,TPC-H 16,6,TableScan,2000000,39859,2000000.000000,39859.000000
TPC-H,EqualDistinctCountHistogram,TPC-H 16,7,TableScan,2000000,40146,2000000.000000,40146.000000
TPC-H,EqualDistinctCountHistogram,TPC-H 16,8,TableScan,2000000,40067,2000000.000000,40067.000000
TPC-H,EqualDistinctCountHistogram,TPC-H 16,9,TableScan,2000000,40033,2000000.000000,40033.000000
TPC-H,EqualDistinctCountHistogram,TPC-H 17,0,JoinHashLeft,59986052,59823,59986052.000000,59661.601562
TPC-H,EqualDistinctCountHistogram,TPC-H 17,1,TableScan,2000000,49742,2000000.000000,49742.000000
TPC-H,EqualDistinctCountHistogram,TPC-H 18,0,JoinHashLeft,59986052,777,59986052.000000,59986048.000000
TPC-H,EqualDistinctCountHistogram,TPC-H 18,1,JoinHashRight,1500000,111,1500000.000000,15000000.000000
TPC-H,EqualDistinctCountHistogram,TPC-H 18,2,JoinHashLeft,15000000,111,15000000.000000,15000000.000000
TPC-H,EqualDistinctCountHistogram,TPC-H 18,3,Aggregate,59986052,15000000,59986052.000000,59986052.000000
TPC-H,EqualDistinctCountHistogram,TPC-H 19,0,TableScan,2000000,80013,2000000.000000,80013.000000
TPC-H,EqualDistinctCountHistogram,TPC-H 19,1,JoinHashLeft,59986052,144987,59986052.000000,23896.787109
TPC-H,EqualDistinctCountHistogram,TPC-H 19,2,TableScan,2000000,79812,2000000.000000,79812.000000
TPC-H,EqualDistinctCountHistogram,TPC-H 19,3,TableScan,2000000,80404,2000000.000000,80404.000000
TPC-H,EqualDistinctCountHistogram,TPC-H 20,0,JoinHashLeft,100000,4023,100000.000000,3999.999268
TPC-H,EqualDistinctCountHistogram,TPC-H 20,1,TableScan,25,1,25.000000,1.000000
TPC-H,EqualDistinctCountHistogram,TPC-H 20,2,JoinHashLeft,8000000,86680,8000000.000000,80000.000000
TPC-H,EqualDistinctCountHistogram,TPC-H 20,3,TableScan,2000000,21670,2000000.000000,20000.000000
TPC-H,EqualDistinctCountHistogram,TPC-H 20,4,TableScan,59986052,9123688,59986052.000000,8975323.000000
TPC-H,EqualDistinctCountHistogram,TPC-H 21,0,JoinHashLeft,59986052,7110111,59986052.000000,9595557.000000
TPC-H,EqualDistinctCountHistogram,TPC-H 21,1,TableScan,15000000,7309184,15000000.000000,7309184.000000
TPC-H,EqualDistinctCountHistogram,TPC-H 21,2,JoinHashLeft,100000,3974,100000.000000,3999.999268
TPC-H,EqualDistinctCountHistogram,TPC-H 21,3,JoinHashLeft,59986052,2382350,59986052.000000,2399441.500000
TPC-H,EqualDistinctCountHistogram,TPC-H 21,4,TableScan,25,1,25.000000,1.000000
TPC-H,EqualDistinctCountHistogram,TPC-H 22,0,JoinHashRight,15000000,63437,15000000.000000,1500000.000000
TPC-H,EqualDistinctCountHistogram,TPC-H 22,1,TableScan,1500000,681239,1500000.000000,1500000.000000
