benchmark,histogram,query,operator_count,operator_type,real_input,real_output,estimated_input,estimated_output
TPC-H,MaxDiffFrequencyHistogram,TPC-H 16,3,TableScan,2000000,39989,2000000.000000,39989.000000
TPC-H,MaxDiffFrequencyHistogram,TPC-H 16,4,TableScan,2000000,40385,2000000.000000,40385.000000
TPC-H,MaxDiffFrequencyHistogram,TPC-H 16,5,TableScan,2000000,40231,2000000.000000,40231.000000
TPC-H,MaxDiffFrequencyHistogram,TPC-H 16,6,TableScan,2000000,39859,2000000.000000,39859.000000
TPC-H,MaxDiffFrequencyHistogram,TPC-H 16,7,TableScan,2000000,40146,2000000.000000,40146.000000
TPC-H,MaxDiffFrequencyHistogram,TPC-H 16,8,TableScan,2000000,40067,2000000.000000,40067.000000
TPC-H,MaxDiffFrequencyHistogram,TPC-H 16,9,TableScan,2000000,40033,2000000.000000,40033.000000
TPC-H,MaxDiffFrequencyHistogram,TPC-H 17,0,JoinHashLeft,59986052,62449,59986052.000000,60803.781250
TPC-H,MaxDiffFrequencyHistogram,TPC-H 17,1,TableScan,2000000,50313,2000000.000000,50313.000000
TPC-H,MaxDiffFrequencyHistogram,TPC-H 18,0,JoinHashLeft,59986052,777,59986052.000000,59985240.000000
TPC-H,MaxDiffFrequencyHistogram,TPC-H 18,1,JoinHashRight,1500000,111,1500000.000000,14999794.000000
TPC-H,MaxDiffFrequencyHistogram,TPC-H 18,2,JoinHashLeft,15000000,111,15000000.000000,14999798.000000
TPC-H,MaxDiffFrequencyHistogram,TPC-H 18,3,Aggregate,59986052,15000000,59986052.000000,59986052.000000
TPC-H,MaxDiffFrequencyHistogram,TPC-H 19,0,TableScan,2000000,79826,2000000.000000,79826.000000
TPC-H,MaxDiffFrequencyHistogram,TPC-H 19,1,JoinHashLeft,59986052,142388,59986052.000000,23840.910156
TPC-H,MaxDiffFrequencyHistogram,TPC-H 19,2,TableScan,2000000,79980,2000000.000000,79980.000000
TPC-H,MaxDiffFrequencyHistogram,TPC-H 19,3,TableScan,2000000,79669,2000000.000000,79669.000000
TPC-H,MaxDiffFrequencyHistogram,TPC-H 20,0,JoinHashLeft,100000,3945,100000.000000,3999.999512
TPC-H,MaxDiffFrequencyHistogram,TPC-H 20,1,TableScan,25,1,25.000000,1.000000
TPC-H,MaxDiffFrequencyHistogram,TPC-H 20,2,JoinHashLeft,8000000,86680,8000000.000000,73383.851562
TPC-H,MaxDiffFrequencyHistogram,TPC-H 20,3,TableScan,2000000,21670,2000000.000000,18346.000000
TPC-H,MaxDiffFrequencyHistogram,TPC-H 20,4,TableScan,59986052,9106637,59986052.000000,9427714.000000
TPC-H,MaxDiffFrequencyHistogram,TPC-H 21,0,JoinHashLeft,59986052,7036877,59986052.000000,9595562.000000
TPC-H,MaxDiffFrequencyHistogram,TPC-H 21,1,TableScan,15000000,7309184,15000000.000000,7309184.000000
TPC-H,MaxDiffFrequencyHistogram,TPC-H 21,2,JoinHashLeft,100000,3934,100000.000000,3999.999512
TPC-H,MaxDiffFrequencyHistogram,TPC-H 21,3,JoinHashLeft,59986052,2357566,59986052.000000,2399442.250000
TPC-H,MaxDiffFrequencyHistogram,TPC-H 21,4,TableScan,25,1,25.000000,1.000000
TPC-H,MaxDiffFrequencyHistogram,TPC-H 22,0,JoinHashRight,15000000,63526,15000000.000000,1500000.000000
TPC-H,MaxDiffFrequencyHistogram,TPC-H 22,1,TableScan,1500000,681299,1500000.000000,1500000.000000
