benchmark,histogram,query,operator_count,operator_type,real_input,real_output,estimated_input,estimated_output
TPC-H,EquiWidthHistogram,TPC-H 07,4,JoinHashLeft,59986052,4832933,59986052.000000,2079824.250000
TPC-H,EquiWidthHistogram,TPC-H 07,5,JoinHashLeft,100000,8054,100000.000000,3468.879639
TPC-H,EquiWidthHistogram,TPC-H 08,0,JoinHashRight,25,24100,25.000000,61190.441406
TPC-H,EquiWidthHistogram,TPC-H 08,1,JoinHashLeft,100000,24100,100000.000000,117748.640625
TPC-H,EquiWidthHistogram,TPC-H 08,2,JoinHashLeft,1500000,299493,1500000.000000,156010.609375
TPC-H,EquiWidthHistogram,TPC-H 08,3,JoinHashLeft,59986052,397400,59986052.000000,397237.625000
TPC-H,EquiWidthHistogram,TPC-H 08,4,JoinHashLeft,25,5,25.000000,3.000000
TPC-H,EquiWidthHistogram,TPC-H 08,5,JoinHashLeft,15000000,392085,15000000.000000,397237.062500
TPC-H,EquiWidthHistogram,TPC-H 08,6,TableScan,2000000,13245,2000000.000000,13245.000000
TPC-H,EquiWidthHistogram,TPC-H 08,7,TableScan,5,1,5.000000,1.000000
TPC-H,EquiWidthHistogram,TPC-H 09,0,JoinHashLeft,8000000,432928,8000000.000000,799959.125000
TPC-H,EquiWidthHistogram,TPC-H 09,1,JoinHashLeft,15000000,2917770,15000000.000000,2999779.000000
TPC-H,EquiWidthHistogram,TPC-H 09,2,JoinHashLeft,100000,100000,100000.000000,50035.000000
TPC-H,EquiWidthHistogram,TPC-H 09,3,JoinHashRight,25,100000,25.000000,50035.000000
TPC-H,EquiWidthHistogram,TPC-H 09,4,JoinHashLeft,59986052,3246126,59986052.000000,5998307.500000
TPC-H,EquiWidthHistogram,TPC-H 09,5,TableScan,2000000,108232,2000000.000000,200000.000000
TPC-H,EquiWidthHistogram,TPC-H 10,0,JoinHashLeft,1500000,1500000,1500000.000000,750045.000000
TPC-H,EquiWidthHistogram,TPC-H 10,1,JoinHashRight,25,1500000,25.000000,750045.000000
TPC-H,EquiWidthHistogram,TPC-H 10,2,JoinHashLeft,59986052,2245158,59986052.000000,2346379.500000
TPC-H,EquiWidthHistogram,TPC-H 10,3,TableScan,15000000,561293,15000000.000000,586732.250000
TPC-H,EquiWidthHistogram,TPC-H 11,0,JoinHashLeft,8000000,319040,8000000.000000,277373.906250
TPC-H,EquiWidthHistogram,TPC-H 11,1,JoinHashLeft,100000,3988,100000.000000,3468.879639
TPC-H,EquiWidthHistogram,TPC-H 11,2,TableScan,25,1,25.000000,1.000000
TPC-H,EquiWidthHistogram,TPC-H 12,0,JoinHashLeft,15000000,291762,15000000.000000,1310438.500000
TPC-H,EquiWidthHistogram,TPC-H 12,1,TableScan,59986052,9107712,59986052.000000,9170509.000000
TPC-H,EquiWidthHistogram,TPC-H 13,0,JoinHashLeft,1500000,15338065,1500000.000000,13499110.000000
TPC-H,EquiWidthHistogram,TPC-H 13,1,TableScan,15000000,14838044,15000000.000000,13500000.000000
TPC-H,EquiWidthHistogram,TPC-H 14,0,JoinHashRight,2000000,773750,2000000.000000,827697.500000
TPC-H,EquiWidthHistogram,TPC-H 14,1,TableScan,59986052,773750,59986052.000000,827737.875000
TPC-H,EquiWidthHistogram,TPC-H 15,0,JoinHashRight,100000,1,100000.000000,2390246.750000
TPC-H,EquiWidthHistogram,TPC-H 15,1,TableScan,59986052,2292950,59986052.000000,2392612.750000
TPC-H,EquiWidthHistogram,TPC-H 16,0,JoinHashLeft,8000000,1191152,8000000.000000,1455.445312
TPC-H,EquiWidthHistogram,TPC-H 16,1,TableScan,100000,56,100000.000000,10000.000000
TPC-H,EquiWidthHistogram,TPC-H 16,2,TableScan,2000000,40563,2000000.000000,39968.000000
TPC-H,EquiWidthHistogram,TPC-H 16,3,TableScan,2000000,39859,2000000.000000,39934.000000
TPC-H,EquiWidthHistogram,TPC-H 16,4,TableScan,2000000,40519,2000000.000000,40242.000000
TPC-H,EquiWidthHistogram,TPC-H 16,5,TableScan,2000000,39785,2000000.000000,40009.000000
TPC-H,EquiWidthHistogram,TPC-H 16,6,TableScan,2000000,39735,2000000.000000,39837.000000
TPC-H,EquiWidthHistogram,TPC-H 16,7,TableScan,2000000,40308,2000000.000000,40083.000000
TPC-H,EquiWidthHistogram,TPC-H 16,8,TableScan,2000000,39989,2000000.000000,40133.000000
TPC-H,EquiWidthHistogram,TPC-H 16,9,TableScan,2000000,40067,2000000.000000,39802.000000
TPC-H,EquiWidthHistogram,TPC-H 17,0,JoinHashLeft,59986052,59460,59986052.000000,59944.359375
TPC-H,EquiWidthHistogram,TPC-H 17,1,TableScan,2000000,50186,2000000.000000,50186.000000
TPC-H,EquiWidthHistogram,TPC-H 18,0,JoinHashLeft,59986052,693,59986052.000000,59982008.000000
TPC-H,EquiWidthHistogram,TPC-H 18,1,JoinHashRight,1500000,99,1500000.000000,14999007.000000
TPC-H,EquiWidthHistogram,TPC-H 18,2,JoinHashLeft,15000000,99,15000000.000000,14999993.000000
TPC-H,EquiWidthHistogram,TPC-H 18,3,Aggregate,59986052,15000000,59986052.000000,59986052.000000
TPC-H,EquiWidthHistogram,TPC-H 19,0,TableScan,2000000,80404,2000000.000000,80404.000000
TPC-H,EquiWidthHistogram,TPC-H 19,1,JoinHashLeft,59986052,142806,59986052.000000,26411.144531
TPC-H,EquiWidthHistogram,TPC-H 19,2,TableScan,2000000,79826,2000000.000000,79826.000000
TPC-H,EquiWidthHistogram,TPC-H 19,3,TableScan,2000000,79150,2000000.000000,79150.000000
TPC-H,EquiWidthHistogram,TPC-H 20,0,JoinHashLeft,100000,44593,100000.000000,9.590739
TPC-H,EquiWidthHistogram,TPC-H 20,1,TableScan,25,1,25.000000,1.000000
TPC-H,EquiWidthHistogram,TPC-H 20,2,JoinHashLeft,8000000,86520,8000000.000000,64.487289
TPC-H,EquiWidthHistogram,TPC-H 20,3,TableScan,2000000,21630,2000000.000000,16.122654
TPC-H,EquiWidthHistogram,TPC-H 20,4,JoinHashLeft,59986052,649465,59986052.000000,483.543457
TPC-H,EquiWidthHistogram,TPC-H 21,0,TableScan,15000000,7309184,15000000.000000,7309184.000000
TPC-H,EquiWidthHistogram,TPC-H 21,1,TableScan,59986052,37929348,59986052.000000,59986052.000000
TPC-H,EquiWidthHistogram,TPC-H 21,2,JoinHashLeft,59986052,7179298,59986052.000000,8317369.000000
TPC-H,EquiWidthHistogram,TPC-H 21,3,JoinHashLeft,100000,4009,100000.000000,3468.879639
TPC-H,EquiWidthHistogram,TPC-H 21,4,JoinHashLeft,59986052,2405258,59986052.000000,2079824.250000
TPC-H,EquiWidthHistogram,TPC-H 21,5,TableScan,25,1,25.000000,1.000000
TPC-H,EquiWidthHistogram,TPC-H 22,0,JoinHashRight,15000000,63501,15000000.000000,1500000.000000
TPC-H,EquiWidthHistogram,TPC-H 22,1,TableScan,1500000,681104,1500000.000000,1500000.000000
