benchmark,histogram,query,operator_count,operator_type,real_input,real_output,estimated_input,estimated_output
TPC-H,MaxDiffFrequencyHistogram,TPC-H 15,0,JoinHashRight,100000,1,100000.000000,1620172.500000
TPC-H,MaxDiffFrequencyHistogram,TPC-H 15,1,TableScan,59986052,2292950,59986052.000000,1620173.625000
TPC-H,MaxDiffFrequencyHistogram,TPC-H 16,0,JoinHashLeft,8000000,1191152,8000000.000000,1485.077515
TPC-H,MaxDiffFrequencyHistogram,TPC-H 16,1,TableScan,100000,56,100000.000000,10000.000000
TPC-H,MaxDiffFrequencyHistogram,TPC-H 16,2,TableScan,2000000,40563,2000000.000000,40224.667969
TPC-H,MaxDiffFrequencyHistogram,TPC-H 16,3,TableScan,2000000,39859,2000000.000000,39857.000000
TPC-H,MaxDiffFrequencyHistogram,TPC-H 16,4,TableScan,2000000,40519,2000000.000000,40219.000000
TPC-H,MaxDiffFrequencyHistogram,TPC-H 16,5,TableScan,2000000,39785,2000000.000000,39953.500000
TPC-H,MaxDiffFrequencyHistogram,TPC-H 16,6,TableScan,2000000,39735,2000000.000000,39857.000000
TPC-H,MaxDiffFrequencyHistogram,TPC-H 16,7,TableScan,2000000,40308,2000000.000000,40141.332031
TPC-H,MaxDiffFrequencyHistogram,TPC-H 16,8,TableScan,2000000,39989,2000000.000000,39989.000000
TPC-H,MaxDiffFrequencyHistogram,TPC-H 16,9,TableScan,2000000,40067,2000000.000000,40067.000000
TPC-H,MaxDiffFrequencyHistogram,TPC-H 17,0,JoinHashLeft,59986052,59460,59986052.000000,60200.441406
TPC-H,MaxDiffFrequencyHistogram,TPC-H 17,1,TableScan,2000000,50186,2000000.000000,50124.500000
TPC-H,MaxDiffFrequencyHistogram,TPC-H 18,0,JoinHashLeft,59986052,693,59986052.000000,59985416.000000
TPC-H,MaxDiffFrequencyHistogram,TPC-H 18,1,JoinHashRight,1500000,99,1500000.000000,14999901.000000
TPC-H,MaxDiffFrequencyHistogram,TPC-H 18,2,JoinHashLeft,15000000,99,15000000.000000,14999905.000000
TPC-H,MaxDiffFrequencyHistogram,TPC-H 18,3,Aggregate,59986052,15000000,59986052.000000,59986052.000000
TPC-H,MaxDiffFrequencyHistogram,TPC-H 19,0,TableScan,2000000,80404,2000000.000000,80208.500000
TPC-H,MaxDiffFrequencyHistogram,TPC-H 19,1,JoinHashLeft,59986052,142806,59986052.000000,23938.113281
TPC-H,MaxDiffFrequencyHistogram,TPC-H 19,2,TableScan,2000000,79826,2000000.000000,79758.664062
TPC-H,MaxDiffFrequencyHistogram,TPC-H 19,3,TableScan,2000000,79150,2000000.000000,79150.000000
TPC-H,MaxDiffFrequencyHistogram,TPC-H 20,0,JoinHashLeft,100000,44593,100000.000000,0.001407
TPC-H,MaxDiffFrequencyHistogram,TPC-H 20,1,JoinHashLeft,25,25,25.000000,0.001407
TPC-H,MaxDiffFrequencyHistogram,TPC-H 20,2,JoinHashLeft,8000000,86520,8000000.000000,0.009349
TPC-H,MaxDiffFrequencyHistogram,TPC-H 20,3,TableScan,2000000,21630,2000000.000000,0.002337
TPC-H,MaxDiffFrequencyHistogram,TPC-H 20,4,JoinHashLeft,59986052,649465,59986052.000000,0.070102
TPC-H,MaxDiffFrequencyHistogram,TPC-H 21,0,TableScan,59986052,37929348,59986052.000000,59986052.000000
TPC-H,MaxDiffFrequencyHistogram,TPC-H 21,1,JoinHashLeft,59986052,7179298,59986052.000000,9595488.000000
TPC-H,MaxDiffFrequencyHistogram,TPC-H 21,2,TableScan,15000000,7309184,15000000.000000,5000000.000000
TPC-H,MaxDiffFrequencyHistogram,TPC-H 21,3,JoinHashLeft,100000,4009,100000.000000,4000.000000
TPC-H,MaxDiffFrequencyHistogram,TPC-H 21,4,JoinHashLeft,59986052,2405258,59986052.000000,2399442.000000
TPC-H,MaxDiffFrequencyHistogram,TPC-H 21,5,TableScan,25,1,25.000000,1.000000
TPC-H,MaxDiffFrequencyHistogram,TPC-H 22,0,JoinHashRight,15000000,63501,15000000.000000,1500000.000000
TPC-H,MaxDiffFrequencyHistogram,TPC-H 22,1,TableScan,1500000,681104,1500000.000000,1500000.000000
