benchmark,histogram,query,operator_count,operator_type,real_input,real_output,estimated_input,estimated_output
TPC-H,EquiWidthHistogram,TPC-H 16,3,TableScan,2000000,39735,2000000.000000,39837.000000
TPC-H,EquiWidthHistogram,TPC-H 16,4,TableScan,2000000,40081,2000000.000000,39905.000000
TPC-H,EquiWidthHistogram,TPC-H 16,5,TableScan,2000000,39989,2000000.000000,40133.000000
TPC-H,EquiWidthHistogram,TPC-H 16,6,TableScan,2000000,40385,2000000.000000,39958.000000
TPC-H,EquiWidthHistogram,TPC-H 16,7,TableScan,2000000,39840,2000000.000000,39697.000000
TPC-H,EquiWidthHistogram,TPC-H 16,8,TableScan,2000000,39933,2000000.000000,39731.000000
TPC-H,EquiWidthHistogram,TPC-H 16,9,TableScan,2000000,39894,2000000.000000,39928.000000
TPC-H,EquiWidthHistogram,TPC-H 17,0,JoinHashLeft,59986052,59527,59986052.000000,59673.089844
TPC-H,EquiWidthHistogram,TPC-H 17,1,TableScan,2000000,49754,2000000.000000,49754.000000
TPC-H,EquiWidthHistogram,TPC-H 18,0,JoinHashLeft,59986052,777,59986052.000000,59982008.000000
TPC-H,EquiWidthHistogram,TPC-H 18,1,JoinHashRight,1500000,111,1500000.000000,14999007.000000
TPC-H,EquiWidthHistogram,TPC-H 18,2,JoinHashLeft,15000000,111,15000000.000000,14999993.000000
TPC-H,EquiWidthHistogram,TPC-H 18,3,Aggregate,59986052,15000000,59986052.000000,59986052.000000
TPC-H,EquiWidthHistogram,TPC-H 19,0,TableScan,2000000,80013,2000000.000000,80013.000000
TPC-H,EquiWidthHistogram,TPC-H 19,1,JoinHashLeft,59986052,145690,59986052.000000,26282.689453
TPC-H,EquiWidthHistogram,TPC-H 19,2,TableScan,2000000,79781,2000000.000000,79781.000000
TPC-H,EquiWidthHistogram,TPC-H 19,3,TableScan,2000000,80170,2000000.000000,80170.000000
TPC-H,EquiWidthHistogram,TPC-H 20,0,JoinHashLeft,100000,4010,100000.000000,3468.879639
TPC-H,EquiWidthHistogram,TPC-H 20,1,TableScan,25,1,25.000000,1.000000
TPC-H,EquiWidthHistogram,TPC-H 20,2,JoinHashLeft,8000000,86680,8000000.000000,79996.070312
TPC-H,EquiWidthHistogram,TPC-H 20,3,TableScan,2000000,21670,2000000.000000,20000.000000
TPC-H,EquiWidthHistogram,TPC-H 20,4,TableScan,59986052,9106637,59986052.000000,8930133.000000
TPC-H,EquiWidthHistogram,TPC-H 21,0,TableScan,15000000,7309184,15000000.000000,7309184.000000
TPC-H,EquiWidthHistogram,TPC-H 21,1,TableScan,59986052,37929348,59986052.000000,59986052.000000
TPC-H,EquiWidthHistogram,TPC-H 21,2,JoinHashLeft,59986052,7036877,59986052.000000,8317369.000000
TPC-H,EquiWidthHistogram,TPC-H 21,3,JoinHashLeft,100000,3934,100000.000000,3468.879639
TPC-H,EquiWidthHistogram,TPC-H 21,4,JoinHashLeft,59986052,2357566,59986052.000000,2079824.250000
TPC-H,EquiWidthHistogram,TPC-H 21,5,TableScan,25,1,25.000000,1.000000
TPC-H,EquiWidthHistogram,TPC-H 22,0,JoinHashRight,15000000,63308,15000000.000000,1500000.000000
TPC-H,EquiWidthHistogram,TPC-H 22,1,TableScan,1500000,681533,1500000.000000,1500000.000000
