benchmark,histogram,query,operator_count,operator_type,real_input,real_output,estimated_input,estimated_output,sampling_rate
TPC-H,EquiWidthHistogram,TPC-H 01,0,TableScan,600572,596626,600572.000000,600360.375000,100
TPC-H,EquiWidthHistogram,TPC-H 02,0,TableScan,20000,434,20000.000000,409.000000,100
TPC-H,EquiWidthHistogram,TPC-H 02,1,JoinHashLeft,80000,384,80000.000000,163.526428,100
TPC-H,EquiWidthHistogram,TPC-H 02,2,JoinHashLeft,1000,204,1000.000000,104.223999,100
TPC-H,EquiWidthHistogram,TPC-H 02,3,JoinHashLeft,1000,204,1000.000000,104.223999,100
TPC-H,EquiWidthHistogram,TPC-H 02,4,JoinHashLeft,25,5,25.000000,3.000000,100
TPC-H,EquiWidthHistogram,TPC-H 02,5,JoinHashLeft,25,5,25.000000,3.000000,100
TPC-H,EquiWidthHistogram,TPC-H 02,6,TableScan,5,1,5.000000,1.000000,100
TPC-H,EquiWidthHistogram,TPC-H 02,7,TableScan,5,1,5.000000,1.000000,100
TPC-H,EquiWidthHistogram,TPC-H 03,0,JoinHashLeft,600572,57768,600572.000000,87783.289062,100
TPC-H,EquiWidthHistogram,TPC-H 03,1,JoinHashLeft,150000,29859,150000.000000,45174.484375,100
TPC-H,EquiWidthHistogram,TPC-H 03,2,TableScan,15000,3013,15000.000000,3013.000000,100
TPC-H,EquiWidthHistogram,TPC-H 04,0,TableScan,150000,5467,150000.000000,5969.735840,100
TPC-H,EquiWidthHistogram,TPC-H 04,1,JoinHashLeft,600572,22013,600572.000000,23898.736328,100
TPC-H,EquiWidthHistogram,TPC-H 05,0,JoinHashRight,15000,16533,15000.000000,23408.580078,100
TPC-H,EquiWidthHistogram,TPC-H 05,1,TableScan,150000,22958,150000.000000,23527.000000,100
TPC-H,EquiWidthHistogram,TPC-H 05,2,JoinHashLeft,600572,107817,600572.000000,62346.058594,100
TPC-H,EquiWidthHistogram,TPC-H 05,3,JoinHashLeft,1000,179,1000.000000,104.223999,100
TPC-H,EquiWidthHistogram,TPC-H 05,4,JoinHashLeft,25,5,25.000000,3.000000,100
TPC-H,EquiWidthHistogram,TPC-H 05,5,TableScan,5,1,5.000000,1.000000,100
TPC-H,EquiWidthHistogram,TPC-H 06,0,TableScan,600572,89333,600572.000000,94591.000000,100
TPC-H,EquiWidthHistogram,TPC-H 07,0,JoinHashLeft,150000,11739,150000.000000,7795.774414,100
TPC-H,EquiWidthHistogram,TPC-H 07,1,JoinHashLeft,15000,1225,15000.000000,519.954346,100
TPC-H,EquiWidthHistogram,TPC-H 07,2,TableScan,25,1,25.000000,1.000000,100
TPC-H,EquiWidthHistogram,TPC-H 07,3,TableScan,25,1,25.000000,1.000000,100
TPC-H,EquiWidthHistogram,TPC-H 07,4,JoinHashLeft,600572,46506,600572.000000,20782.025391,100
TPC-H,EquiWidthHistogram,TPC-H 07,5,JoinHashLeft,1000,77,1000.000000,34.741333,100
TPC-H,EquiWidthHistogram,TPC-H 08,0,JoinHashRight,25,240,25.000000,893.617004,100
