benchmark,histogram,query,operator_count,operator_type,real_input,real_output,estimated_input,estimated_output,sampling_rate
TPC-H,GDYHistogram,TPC-H 19,2,TableScan,20000,790,20000.000000,799.500000,100
TPC-H,GDYHistogram,TPC-H 19,3,TableScan,20000,797,20000.000000,794.428589,100
TPC-H,GDYHistogram,TPC-H 20,0,JoinHashLeft,1000,435,1000.000000,0.000000,100
TPC-H,GDYHistogram,TPC-H 20,1,JoinHashLeft,25,25,25.000000,0.000000,100
TPC-H,GDYHistogram,TPC-H 20,2,JoinHashLeft,80000,864,80000.000000,0.000001,100
TPC-H,GDYHistogram,TPC-H 20,3,TableScan,20000,216,20000.000000,0.000000,100
TPC-H,GDYHistogram,TPC-H 20,4,JoinHashLeft,600572,6485,600572.000000,0.000008,100
TPC-H,GDYHistogram,TPC-H 21,0,TableScan,150000,72884,150000.000000,72884.000000,100
TPC-H,GDYHistogram,TPC-H 21,1,TableScan,600572,379809,600572.000000,600572.000000,100
TPC-H,GDYHistogram,TPC-H 21,2,JoinHashLeft,600572,65287,600572.000000,96199.773438,100
TPC-H,GDYHistogram,TPC-H 21,3,JoinHashLeft,1000,36,1000.000000,40.000000,100
TPC-H,GDYHistogram,TPC-H 21,4,JoinHashLeft,600572,21789,600572.000000,24022.876953,100
TPC-H,GDYHistogram,TPC-H 21,5,TableScan,25,1,25.000000,1.000000,100
TPC-H,GDYHistogram,TPC-H 22,0,JoinHashRight,150000,654,150000.000000,15000.000000,100
TPC-H,GDYHistogram,TPC-H 22,1,TableScan,15000,6717,15000.000000,15000.000000,100
