benchmark,histogram,query,operator_count,operator_type,real_input,real_output,estimated_input,estimated_output,sampling_rate
TPC-H,EquiHeightHistogram,TPC-H 17,0,JoinHashLeft,600572,342,600572.000000,590.255493,100
TPC-H,EquiHeightHistogram,TPC-H 17,1,TableScan,20000,495,20000.000000,494.857147,100
TPC-H,EquiHeightHistogram,TPC-H 18,0,JoinHashLeft,600572,0,600572.000000,600036.125000,100
TPC-H,EquiHeightHistogram,TPC-H 18,1,JoinHashRight,15000,0,15000.000000,149866.218750,100
TPC-H,EquiHeightHistogram,TPC-H 18,2,JoinHashLeft,150000,0,150000.000000,149866.234375,100
TPC-H,EquiHeightHistogram,TPC-H 18,3,Aggregate,600572,150000,600572.000000,600572.000000,100
TPC-H,EquiHeightHistogram,TPC-H 19,0,TableScan,20000,831,20000.000000,826.500000,100
TPC-H,EquiHeightHistogram,TPC-H 19,1,JoinHashLeft,600572,1664,600572.000000,254.100113,100
TPC-H,EquiHeightHistogram,TPC-H 19,2,TableScan,20000,786,20000.000000,802.000000,100
TPC-H,EquiHeightHistogram,TPC-H 19,3,TableScan,20000,802,20000.000000,813.500000,100
TPC-H,EquiHeightHistogram,TPC-H 20,0,JoinHashLeft,1000,438,1000.000000,0.000000,100
TPC-H,EquiHeightHistogram,TPC-H 20,1,JoinHashLeft,25,25,25.000000,0.000000,100
TPC-H,EquiHeightHistogram,TPC-H 20,2,JoinHashLeft,80000,864,80000.000000,0.000001,100
TPC-H,EquiHeightHistogram,TPC-H 20,3,TableScan,20000,216,20000.000000,0.000000,100
TPC-H,EquiHeightHistogram,TPC-H 20,4,JoinHashLeft,600572,6485,600572.000000,0.000008,100
TPC-H,EquiHeightHistogram,TPC-H 21,0,TableScan,150000,72884,150000.000000,72884.000000,100
TPC-H,EquiHeightHistogram,TPC-H 21,1,JoinHashLeft,600572,65287,600572.000000,96199.414062,100
TPC-H,EquiHeightHistogram,TPC-H 21,2,JoinHashLeft,1000,36,1000.000000,40.000000,100
TPC-H,EquiHeightHistogram,TPC-H 21,3,JoinHashLeft,600572,21789,600572.000000,24022.783203,100
TPC-H,EquiHeightHistogram,TPC-H 21,4,TableScan,25,1,25.000000,1.000000,100
TPC-H,EquiHeightHistogram,TPC-H 22,0,JoinHashRight,150000,628,150000.000000,15000.000000,100
TPC-H,EquiHeightHistogram,TPC-H 22,1,TableScan,15000,6837,15000.000000,15000.000000,100
