benchmark,histogram,query,operator_count,operator_type,real_input,real_output,estimated_input,estimated_output,sampling_rate
TPC-H,EqualDistinctCountHistogram,TPC-H 18,3,Aggregate,600572,150000,600572.000000,600572.000000,100
TPC-H,EqualDistinctCountHistogram,TPC-H 19,0,TableScan,20000,752,20000.000000,771.333252,100
TPC-H,EqualDistinctCountHistogram,TPC-H 19,1,JoinHashLeft,600572,1715,600572.000000,234.522995,100
TPC-H,EqualDistinctCountHistogram,TPC-H 19,2,TableScan,20000,803,20000.000000,810.333313,100
TPC-H,EqualDistinctCountHistogram,TPC-H 19,3,TableScan,20000,776,20000.000000,771.333252,100
TPC-H,EqualDistinctCountHistogram,TPC-H 20,0,JoinHashLeft,1000,438,1000.000000,0.000000,100
TPC-H,EqualDistinctCountHistogram,TPC-H 20,1,JoinHashLeft,25,25,25.000000,0.000000,100
TPC-H,EqualDistinctCountHistogram,TPC-H 20,2,JoinHashLeft,80000,864,80000.000000,0.000001,100
TPC-H,EqualDistinctCountHistogram,TPC-H 20,3,TableScan,20000,216,20000.000000,0.000000,100
TPC-H,EqualDistinctCountHistogram,TPC-H 20,4,JoinHashLeft,600572,6485,600572.000000,0.000008,100
TPC-H,EqualDistinctCountHistogram,TPC-H 21,0,JoinHashLeft,600572,65287,600572.000000,96199.765625,100
TPC-H,EqualDistinctCountHistogram,TPC-H 21,1,TableScan,150000,72884,150000.000000,72884.000000,100
TPC-H,EqualDistinctCountHistogram,TPC-H 21,2,JoinHashLeft,1000,36,1000.000000,40.000000,100
TPC-H,EqualDistinctCountHistogram,TPC-H 21,3,JoinHashLeft,600572,21789,600572.000000,24022.878906,100
TPC-H,EqualDistinctCountHistogram,TPC-H 21,4,TableScan,25,1,25.000000,1.000000,100
TPC-H,EqualDistinctCountHistogram,TPC-H 22,0,JoinHashRight,150000,647,150000.000000,15000.000000,100
TPC-H,EqualDistinctCountHistogram,TPC-H 22,1,TableScan,15000,6740,15000.000000,15000.000000,100
