benchmark,histogram,query,operator_count,operator_type,real_input,real_output,estimated_input,estimated_output
TPC-DS,EqualDistinctCountHistogram,25,3,TableScan,65535,365,65535.000000,333.860016
TPC-DS,EqualDistinctCountHistogram,25,4,JoinHashLeft,28800991,262336,28800992.000000,10334.982422
TPC-DS,EqualDistinctCountHistogram,25,5,JoinHashLeft,2875432,259123,2875432.000000,7431.339355
TPC-DS,EqualDistinctCountHistogram,26,0,JoinHashLeft,102000,39769,102000.000000,26973.402344
TPC-DS,EqualDistinctCountHistogram,26,1,JoinHashLeft,14401261,2867400,14401261.000000,65573.039062
TPC-DS,EqualDistinctCountHistogram,26,2,TableScan,500,494,500.000000,494.000000
TPC-DS,EqualDistinctCountHistogram,26,3,TableScan,500,493,500.000000,493.000000
TPC-DS,EqualDistinctCountHistogram,26,4,TableScan,65535,366,65535.000000,333.860016
TPC-DS,EqualDistinctCountHistogram,26,5,TableScan,1920800,274400,1920800.000000,274400.000000
TPC-DS,EqualDistinctCountHistogram,28,0,TableScan,28800991,1374815,28800992.000000,1374815.000000
TPC-DS,EqualDistinctCountHistogram,28,1,TableScan,28800991,1373693,28800992.000000,1373693.000000
TPC-DS,EqualDistinctCountHistogram,28,2,TableScan,28800991,1374966,28800992.000000,1374966.000000
TPC-DS,EqualDistinctCountHistogram,28,3,TableScan,28800991,1374768,28800992.000000,1374768.000000
TPC-DS,EqualDistinctCountHistogram,28,4,TableScan,28800991,1375524,28800992.000000,1375524.000000
TPC-DS,EqualDistinctCountHistogram,28,5,TableScan,28800991,1372592,28800992.000000,1253908.375000
TPC-DS,EqualDistinctCountHistogram,29,0,JoinHashRight,102,3,102.000000,552.967163
TPC-DS,EqualDistinctCountHistogram,29,1,JoinHashLeft,102000,3,102000.000000,552.967163
TPC-DS,EqualDistinctCountHistogram,29,2,JoinHashLeft,28800991,590830,28800992.000000,10334.982422
TPC-DS,EqualDistinctCountHistogram,29,3,JoinHashLeft,2875432,182689,2875432.000000,4236.558594
TPC-DS,EqualDistinctCountHistogram,29,4,TableScan,65535,365,65535.000000,333.860016
TPC-DS,EqualDistinctCountHistogram,29,5,JoinHashLeft,14401261,3776379,14401261.000000,122187.468750
TPC-DS,EqualDistinctCountHistogram,29,6,TableScan,73049,365,73049.000000,365.333344
TPC-DS,EqualDistinctCountHistogram,29,7,TableScan,73049,366,73049.000000,365.333344
TPC-DS,EqualDistinctCountHistogram,29,8,TableScan,73049,365,73049.000000,365.333344
TPC-DS,EqualDistinctCountHistogram,31,0,JoinHashRight,250000,819477,250000.000000,29936.529297
TPC-DS,EqualDistinctCountHistogram,31,1,JoinHashRight,250000,1431454,250000.000000,30267.164062
TPC-DS,EqualDistinctCountHistogram,31,2,JoinHashRight,250000,772166,250000.000000,29938.189453
TPC-DS,EqualDistinctCountHistogram,31,3,JoinHashLeft,250000,30140,250000.000000,8289.662109
TPC-DS,EqualDistinctCountHistogram,31,4,JoinHashLeft,28800991,839034,28800992.000000,31347.728516
TPC-DS,EqualDistinctCountHistogram,31,5,TableScan,65535,366,65535.000000,333.860016
TPC-DS,EqualDistinctCountHistogram,31,6,JoinHashLeft,250000,16757,250000.000000,8199.555664
TPC-DS,EqualDistinctCountHistogram,31,7,JoinHashLeft,250000,17668,250000.000000,8199.108398
TPC-DS,EqualDistinctCountHistogram,31,8,JoinHashLeft,7197566,384845,7197566.000000,8291.670898
TPC-DS,EqualDistinctCountHistogram,31,9,JoinHashLeft,28800991,1465918,28800992.000000,31693.947266
TPC-DS,EqualDistinctCountHistogram,31,10,JoinHashLeft,28800991,790723,28800992.000000,31349.460938
TPC-DS,EqualDistinctCountHistogram,31,11,JoinHashLeft,7197566,208405,7197566.000000,8201.544922
TPC-DS,EqualDistinctCountHistogram,31,12,JoinHashLeft,7197566,218552,7197566.000000,8201.092773
TPC-DS,EqualDistinctCountHistogram,32,0,JoinHashLeft,14401261,412149,14401261.000000,0.250204
TPC-DS,EqualDistinctCountHistogram,32,1,JoinHashLeft,102000,50979,102000.000000,0.250204
TPC-DS,EqualDistinctCountHistogram,32,2,TableScan,65535,91,65535.000000,0.001274
TPC-DS,EqualDistinctCountHistogram,34,0,JoinHashLeft,500000,1200,500000.000000,221.744888
TPC-DS,EqualDistinctCountHistogram,34,1,TableScan,102,31,102.000000,31.000002
TPC-DS,EqualDistinctCountHistogram,34,2,JoinHashLeft,28800991,3793832,28800992.000000,4523.708008
TPC-DS,EqualDistinctCountHistogram,34,3,TableScan,7200,4800,7200.000000,4800.000000
TPC-DS,EqualDistinctCountHistogram,34,4,TableScan,73049,365,73049.000000,365.333344
TPC-DS,EqualDistinctCountHistogram,34,5,TableScan,73049,366,73049.000000,365.333344
TPC-DS,EqualDistinctCountHistogram,34,6,TableScan,73049,365,73049.000000,365.333344
TPC-DS,EqualDistinctCountHistogram,35,0,JoinHashLeft,28800991,3099118,28800992.000000,94348.070312
TPC-DS,EqualDistinctCountHistogram,35,1,JoinHashRight,250000,482697,250000.000000,482697.093750
TPC-DS,EqualDistinctCountHistogram,35,2,JoinHashRight,500000,482697,500000.000000,482697.000000
TPC-DS,EqualDistinctCountHistogram,35,3,JoinHashLeft,7197566,804611,7197566.000000,24683.035156
TPC-DS,EqualDistinctCountHistogram,35,4,JoinHashLeft,14401261,1592130,14401261.000000,49168.347656
TPC-DS,EqualDistinctCountHistogram,35,5,TableScan,65535,365,65535.000000,333.707794
TPC-DS,EqualDistinctCountHistogram,35,6,JoinHashLeft,1920800,426807,1920800.000000,426807.000000
TPC-DS,EqualDistinctCountHistogram,35,7,JoinHashRight,500000,426807,500000.000000,426807.000000
TPC-DS,EqualDistinctCountHistogram,37,0,JoinHashLeft,14401261,536,14401261.000000,390.947784
TPC-DS,EqualDistinctCountHistogram,37,1,TableScan,102000,134,102000.000000,144.368408
