HISTOGRAM_NAME,COLUMN_DATA_TYPE,COLUMN_ID,TOTAL_COUNT,BIN_COUNT,BUILD_TIME,THREAD_COUNT
MaxDiffAreaHistogram,string,4,14,5,0.00128076,1
MaxDiffAreaHistogram,int,0,20,5,0.00128749,1
MaxDiffAreaHistogram,string,5,14,5,0.00146987,1
MaxDiffAreaHistogram,int,5,2021,5,0.00221838,1
MaxDiffAreaHistogram,string,6,2015,2,0.00226598,1
MaxDiffAreaHistogram,string,1,20,5,0.00219591,1
MaxDiffAreaHistogram,string,9,2021,5,0.00250387,1
MaxDiffAreaHistogram,string,8,2015,1,0.00253468,1
MaxDiffAreaHistogram,int,11,2024,5,0.000675074,1
MaxDiffAreaHistogram,int,4,2020,5,0.0028198,1
MaxDiffAreaHistogram,string,3,20,4,0.000669731,1
MaxDiffAreaHistogram,string,2,20,5,0.00128432,1
MaxDiffAreaHistogram,string,6,14,5,0.00284335,1
MaxDiffAreaHistogram,string,7,14,5,0.00286922,1
MaxDiffAreaHistogram,int,12,2020,5,0.000588302,1
MaxDiffAreaHistogram,int,13,2019,5,0.000683822,1
MaxDiffAreaHistogram,string,5,20,5,0.000512101,1
MaxDiffAreaHistogram,string,4,20,5,0.000854851,1
MaxDiffAreaHistogram,string,8,15,5,0.000444845,1
MaxDiffAreaHistogram,string,10,15,5,0.000470704,1
MaxDiffAreaHistogram,string,12,15,1,0.000486632,1
MaxDiffAreaHistogram,string,11,15,5,0.000516602,1
MaxDiffAreaHistogram,int,7,569,5,0.0035396,1
MaxDiffAreaHistogram,string,9,15,5,0.000566952,1
MaxDiffAreaHistogram,int,10,2015,5,0.00363036,1
MaxDiffAreaHistogram,float,13,14,2,0.000528101,1
MaxDiffAreaHistogram,string,3,1020,3,0.000582803,1
MaxDiffAreaHistogram,string,2,2019,4,0.000803298,1
MaxDiffAreaHistogram,int,0,15,5,0.00070934,1
MaxDiffAreaHistogram,string,1,15,5,0.000935105,1
MaxDiffAreaHistogram,string,2,14,5,0.000992412,1
MaxDiffAreaHistogram,int,3,14,5,0.000980142,1
MaxDiffAreaHistogram,int,0,2040,5,0.0016272,1
MaxDiffAreaHistogram,string,1,2040,5,0.00328989,1
MaxDiffAreaHistogram,string,9,987,1,0.000601433,1
MaxDiffAreaHistogram,int,20,73049,36,0.00285128,1
MaxDiffAreaHistogram,int,19,73049,36,0.00325684,1
MaxDiffAreaHistogram,int,10,73049,4,0.00193221,1
MaxDiffAreaHistogram,int,9,73049,31,0.00178499,1
MaxDiffAreaHistogram,string,18,73049,2,0.00971779,1
MaxDiffAreaHistogram,int,8,73049,12,0.00153361,1
MaxDiffAreaHistogram,string,23,73049,1,0.007929,1
MaxDiffAreaHistogram,string,24,73049,1,0.00946458,1
MaxDiffAreaHistogram,string,10,986,1,0.000304086,1
MaxDiffAreaHistogram,string,25,73049,2,0.00753574,1
MaxDiffAreaHistogram,int,0,1000,5,0.000552532,1
MaxDiffAreaHistogram,int,13,73049,36,0.00405482,1
MaxDiffAreaHistogram,string,11,986,1,0.000268415,1
MaxDiffAreaHistogram,int,3,73049,36,0.00213432,1
MaxDiffAreaHistogram,string,26,73049,2,0.00950886,1
MaxDiffAreaHistogram,int,14,1.24102e+06,100,0.0216427,1
MaxDiffAreaHistogram,int,4,1.26545e+06,20,0.0193359,1
MaxDiffAreaHistogram,int,6,1.26545e+06,7,0.0233515,1
MaxDiffAreaHistogram,int,8,1.26545e+06,7,0.0235901,1
