benchmark,histogram,query,operator_count,operator_type,real_input,real_output,estimated_input,estimated_output,sampling_rate
TPC-H,MaxDiffAreaHistogram,TPC-H 10,3,JoinHashLeft,59986052,2248407,59986052.000000,2009249.750000,100
TPC-H,MaxDiffAreaHistogram,TPC-H 11,0,JoinHashLeft,8000000,314720,8000000.000000,320000.187500,100
TPC-H,MaxDiffAreaHistogram,TPC-H 11,1,JoinHashLeft,100000,3934,100000.000000,3999.999512,100
TPC-H,MaxDiffAreaHistogram,TPC-H 11,2,TableScan,25,1,25.000000,1.000000,100
TPC-H,MaxDiffAreaHistogram,TPC-H 12,0,JoinHashLeft,15000000,293828,15000000.000000,1171899.375000,100
TPC-H,MaxDiffAreaHistogram,TPC-H 12,1,TableScan,59986052,9122650,59986052.000000,8201743.500000,100
TPC-H,MaxDiffAreaHistogram,TPC-H 13,0,JoinHashLeft,1500000,15337889,1500000.000000,13500000.000000,100
TPC-H,MaxDiffAreaHistogram,TPC-H 13,1,TableScan,15000000,14837866,15000000.000000,13500000.000000,100
TPC-H,MaxDiffAreaHistogram,TPC-H 14,0,JoinHashRight,2000000,773181,2000000.000000,574829.625000,100
TPC-H,MaxDiffAreaHistogram,TPC-H 14,1,TableScan,59986052,773181,59986052.000000,574830.437500,100
TPC-H,MaxDiffAreaHistogram,TPC-H 15,0,JoinHashRight,100000,1,100000.000000,2176800.000000,100
TPC-H,MaxDiffAreaHistogram,TPC-H 15,1,TableScan,59986052,2247222,59986052.000000,2176800.500000,100
TPC-H,MaxDiffAreaHistogram,TPC-H 16,0,JoinHashLeft,8000000,1188176,8000000.000000,1061.044556,100
TPC-H,MaxDiffAreaHistogram,TPC-H 16,1,TableScan,100000,56,100000.000000,10000.000000,100
TPC-H,MaxDiffAreaHistogram,TPC-H 16,2,TableScan,2000000,39958,2000000.000000,39958.000000,100
TPC-H,MaxDiffAreaHistogram,TPC-H 16,3,TableScan,2000000,40067,2000000.000000,40067.000000,100
TPC-H,MaxDiffAreaHistogram,TPC-H 16,4,TableScan,2000000,39971,2000000.000000,39971.000000,100
TPC-H,MaxDiffAreaHistogram,TPC-H 16,5,TableScan,2000000,40253,2000000.000000,40253.000000,100
TPC-H,MaxDiffAreaHistogram,TPC-H 16,6,TableScan,2000000,39575,2000000.000000,39575.000000,100
TPC-H,MaxDiffAreaHistogram,TPC-H 16,7,TableScan,2000000,39968,2000000.000000,39968.000000,100
TPC-H,MaxDiffAreaHistogram,TPC-H 16,8,TableScan,2000000,40033,2000000.000000,40033.000000,100
TPC-H,MaxDiffAreaHistogram,TPC-H 16,9,TableScan,2000000,40177,2000000.000000,40177.000000,100
TPC-H,MaxDiffAreaHistogram,TPC-H 17,0,JoinHashLeft,59986052,59527,59986052.000000,59676.128906,100
TPC-H,MaxDiffAreaHistogram,TPC-H 17,1,TableScan,2000000,49754,2000000.000000,49754.000000,100
TPC-H,MaxDiffAreaHistogram,TPC-H 18,0,JoinHashLeft,59986052,777,59986052.000000,59981372.000000,100
TPC-H,MaxDiffAreaHistogram,TPC-H 18,1,JoinHashRight,1500000,111,1500000.000000,14998831.000000,100
TPC-H,MaxDiffAreaHistogram,TPC-H 18,2,JoinHashLeft,15000000,111,15000000.000000,14998834.000000,100
TPC-H,MaxDiffAreaHistogram,TPC-H 18,3,Aggregate,59986052,15000000,59986052.000000,59986052.000000,100
