TPC-H 11,TableScan,25,1,25.000000,1.000000
TPC-H 12,JoinHashRight,282,294,1446.565552,1446.565552
TPC-H 12,TableScan,2524,1614,2880.097900,2880.097900
TPC-H 12,JoinHashLeft,15000,282,15000.000000,1446.565552
TPC-H 12,TableScan,60175,8777,60175.000000,10165.995117
TPC-H 13,JoinHashLeft,1500,15334,1500.000000,13500.000000
TPC-H 13,JoinHashRight,14834,15334,13500.000000,13500.000000
TPC-H 13,TableScan,15000,14834,15000.000000,13500.000000
TPC-H 14,JoinHashLeft,770,770,23.562426,23.562424
TPC-H 14,JoinHashRight,663,770,23.562424,23.562424
TPC-H 14,TableScan,60175,770,60175.000000,23.562426
TPC-H 14,JoinHashLeft,2000,663,2000.000000,23.562424
TPC-H 14,JoinHashRight,770,663,23.562426,23.562424
TPC-H 15,JoinHashRight,100,1,100.000000,3054.997070
TPC-H 15,TableScan,60175,2247,60175.000000,3054.996826
TPC-H 16,JoinHashLeft,1232,1232,731.058105,731.058105
TPC-H 16,TableScan,323,183,307.167297,182.764526
TPC-H 16,TableScan,323,125,307.167297,124.402756
TPC-H 16,JoinHashLeft,8000,1232,8000.000000,731.058105
TPC-H 16,TableScan,100,0,100.000000,10.000000
TPC-H 16,TableScan,2000,332,2000.000000,319.500000
TPC-H 17,JoinHashLeft,62,62,57.316700,57.316700
TPC-H 17,JoinHashRight,2,62,1.905000,57.316700
TPC-H 17,Aggregate,62,2,57.316700,57.316700
TPC-H 17,JoinHashLeft,60175,62,60175.000000,57.316700
TPC-H 17,JoinHashRight,2,62,1.905000,57.316700
TPC-H 17,TableScan,2000,30,2000.000000,47.625000
TPC-H 18,JoinHashLeft,60175,0,60175.000000,59984.304688
TPC-H 18,JoinHashLeft,0,0,14952.397461,14952.397461
TPC-H 18,JoinHashRight,1500,0,1500.000000,14952.397461
TPC-H 18,JoinHashLeft,15000,0,15000.000000,14952.397461
TPC-H 18,Aggregate,60175,15000,60175.000000,60175.000000
TPC-H 19,JoinHashLeft,0,0,0.000000,0.000000
TPC-H 19,TableScan,2000,74,2000.000000,77.199997
TPC-H 19,JoinHashLeft,60175,50,60175.000000,25.122337
TPC-H 19,TableScan,2000,77,2000.000000,79.199997
TPC-H 19,TableScan,2000,80,2000.000000,77.199997
TPC-H 20,JoinHashLeft,39,1,0.000002,0.000002
TPC-H 20,JoinHashRight,1,1,1.000000,0.000002
TPC-H 20,JoinHashLeft,100,39,100.000000,0.000002
TPC-H 20,JoinHashLeft,25,23,25.000000,0.000002
TPC-H 20,JoinHashRight,39,23,0.000002,0.000002
TPC-H 20,JoinHashLeft,72,45,0.000010,0.000002
TPC-H 20,JoinHashLeft,8000,72,8000.000000,0.000010
TPC-H 20,Aggregate,79,45,0.000002,0.000002
TPC-H 20,TableScan,2000,18,2000.000000,0.000002
TPC-H 20,JoinHashRight,72,558,0.000010,0.000010
TPC-H 20,JoinHashLeft,60175,558,60175.000000,0.000073
TPC-H 20,JoinHashRight,72,558,0.000010,0.000073
TPC-H 21,JoinHashRight,7239,697,9660.179688,2406.036621
TPC-H 21,JoinHashRight,7304,725,7304.000000,2406.036621
TPC-H 21,TableScan,60175,37897,60175.000000,60175.000000
TPC-H 21,JoinHashRight,4,1543,4.000000,2407.000000
TPC-H 21,JoinHashLeft,60175,7239,60175.000000,9660.179688
TPC-H 21,TableScan,2447,1543,2407.000000,2407.000000
TPC-H 21,TableScan,15000,7304,15000.000000,7304.000000
TPC-H 21,JoinHashLeft,100,4,100.000000,4.000000
TPC-H 21,JoinHashRight,1,4,1.000000,4.000000
TPC-H 21,JoinHashLeft,60175,2447,60175.000000,2407.000000
TPC-H 21,JoinHashRight,4,2447,4.000000,2407.000000
TPC-H 21,TableScan,25,1,25.000000,1.000000
TPC-H 22,JoinHashRight,15000,59,15000.000000,1500.000000
TPC-H 22,TableScan,1500,672,1500.000000,1500.000000
