benchmark,histogram,query,operator_count,operator_type,real_input,real_output,estimated_input,estimated_output,sampling_rate
TPC-H,MaxDiffAreaHistogram,TPC-H 14,0,TableScan,59986052,771048,59986052.000000,64971.730469,50
TPC-H,MaxDiffAreaHistogram,TPC-H 14,1,JoinHashLeft,2000000,640086,2000000.000000,7050.514648,50
TPC-H,MaxDiffAreaHistogram,TPC-H 15,0,JoinHashRight,100000,1,100000.000000,32013.189453,50
TPC-H,MaxDiffAreaHistogram,TPC-H 15,1,JoinHashRight,100000,2247222,100000.000000,32013.189453,50
TPC-H,MaxDiffAreaHistogram,TPC-H 15,2,TableScan,59986052,2247222,59986052.000000,295007.125000,50
TPC-H,MaxDiffAreaHistogram,TPC-H 16,0,JoinHashLeft,8000000,1188176,8000000.000000,861.129883,50
TPC-H,MaxDiffAreaHistogram,TPC-H 16,1,TableScan,100000,56,100000.000000,10000.000000,50
TPC-H,MaxDiffAreaHistogram,TPC-H 16,2,TableScan,2000000,39958,2000000.000000,39958.000000,50
TPC-H,MaxDiffAreaHistogram,TPC-H 16,3,TableScan,2000000,40067,2000000.000000,40067.000000,50
TPC-H,MaxDiffAreaHistogram,TPC-H 16,4,TableScan,2000000,39971,2000000.000000,39971.000000,50
TPC-H,MaxDiffAreaHistogram,TPC-H 16,5,TableScan,2000000,40253,2000000.000000,40253.000000,50
TPC-H,MaxDiffAreaHistogram,TPC-H 16,6,TableScan,2000000,39575,2000000.000000,39575.000000,50
TPC-H,MaxDiffAreaHistogram,TPC-H 16,7,TableScan,2000000,39968,2000000.000000,39968.000000,50
TPC-H,MaxDiffAreaHistogram,TPC-H 16,8,TableScan,2000000,40033,2000000.000000,40033.000000,50
TPC-H,MaxDiffAreaHistogram,TPC-H 16,9,TableScan,2000000,40177,2000000.000000,40177.000000,50
TPC-H,MaxDiffAreaHistogram,TPC-H 17,0,JoinHashLeft,59986052,59527,59986052.000000,6733.632324,50
TPC-H,MaxDiffAreaHistogram,TPC-H 17,1,TableScan,2000000,49754,2000000.000000,49754.000000,50
TPC-H,MaxDiffAreaHistogram,TPC-H 18,0,JoinHashLeft,15000000,99,15000000.000000,590302.875000,50
TPC-H,MaxDiffAreaHistogram,TPC-H 18,1,JoinHashLeft,1500000,99,1500000.000000,257607.500000,50
TPC-H,MaxDiffAreaHistogram,TPC-H 18,2,JoinHashLeft,59986052,693,59986052.000000,2364884.750000,50
TPC-H,MaxDiffAreaHistogram,TPC-H 18,3,JoinHashLeft,59986052,59986052,59986052.000000,2364884.750000,50
TPC-H,MaxDiffAreaHistogram,TPC-H 18,4,JoinHashRight,15000000,59986052,15000000.000000,2364884.750000,50
TPC-H,MaxDiffAreaHistogram,TPC-H 19,0,JoinHashLeft,2000000,1018215,2000000.000000,0.000000,50
TPC-H,MaxDiffAreaHistogram,TPC-H 19,1,TableScan,59986052,14994611,59986052.000000,1624834.000000,50
TPC-H,MaxDiffAreaHistogram,TPC-H 20,0,JoinHashLeft,100000,44608,100000.000000,0.000001,50
TPC-H,MaxDiffAreaHistogram,TPC-H 20,1,JoinHashLeft,25,25,25.000000,0.000001,50
TPC-H,MaxDiffAreaHistogram,TPC-H 20,2,JoinHashLeft,8000000,86680,8000000.000000,0.000780,50
TPC-H,MaxDiffAreaHistogram,TPC-H 20,3,TableScan,2000000,21670,2000000.000000,0.000240,50
TPC-H,MaxDiffAreaHistogram,TPC-H 20,4,JoinHashLeft,59986052,649355,59986052.000000,0.000660,50
TPC-H,MaxDiffAreaHistogram,TPC-H 21,0,JoinHashLeft,59986052,3396915,59986052.000000,8745.070312,50
TPC-H,MaxDiffAreaHistogram,TPC-H 21,1,JoinHashLeft,100000,3934,100000.000000,3999.999512,50
TPC-H,MaxDiffAreaHistogram,TPC-H 21,2,JoinHashLeft,15000000,1418202,15000000.000000,10266.605469,50
TPC-H,MaxDiffAreaHistogram,TPC-H 21,3,JoinHashLeft,59986052,2357566,59986052.000000,260379.656250,50
TPC-H,MaxDiffAreaHistogram,TPC-H 21,4,TableScan,25,1,25.000000,1.000000,50
TPC-H,MaxDiffAreaHistogram,TPC-H 22,0,JoinHashRight,15000000,63526,15000000.000000,1500000.000000,50
TPC-H,MaxDiffAreaHistogram,TPC-H 22,1,TableScan,1500000,681299,1500000.000000,1500000.000000,50
JoinOrder,MaxDiffAreaHistogram,10a,0,JoinHashRight,4,265,4.000000,0.726805,50
JoinOrder,MaxDiffAreaHistogram,10a,1,JoinHashLeft,2528312,130,2528312.000000,0.726805,50
JoinOrder,MaxDiffAreaHistogram,10a,2,JoinHashLeft,3140339,200,3140339.000000,45.459648,50
JoinOrder,MaxDiffAreaHistogram,10a,3,TableScan,12,1,12.000000,1.000000,50
JoinOrder,MaxDiffAreaHistogram,10a,4,JoinHashLeft,2609129,8790,2609129.000000,15111.965820,50
JoinOrder,MaxDiffAreaHistogram,10a,5,JoinHashLeft,36244344,310325,36244344.000000,57142.910156,50
JoinOrder,MaxDiffAreaHistogram,10a,6,TableScan,234997,1361,234997.000000,1361.000000,50
JoinOrder,MaxDiffAreaHistogram,10b,0,JoinHashRight,4,0,4.000000,7.268034,50
JoinOrder,MaxDiffAreaHistogram,10b,1,JoinHashLeft,2528312,0,2528312.000000,7.268034,50
JoinOrder,MaxDiffAreaHistogram,10b,2,JoinHashLeft,3140339,0,3140339.000000,445.595001,50
JoinOrder,MaxDiffAreaHistogram,10b,3,TableScan,12,1,12.000000,1.000000,50
JoinOrder,MaxDiffAreaHistogram,10b,4,JoinHashLeft,2609129,8790,2609129.000000,15111.965820,50
JoinOrder,MaxDiffAreaHistogram,10b,5,JoinHashLeft,36244344,310325,36244344.000000,57142.910156,50
JoinOrder,MaxDiffAreaHistogram,10b,6,TableScan,234997,1361,234997.000000,1361.000000,50
JoinOrder,MaxDiffAreaHistogram,10c,0,JoinHashRight,4,14,4.000000,11086.955078,50
JoinOrder,MaxDiffAreaHistogram,10c,1,JoinHashLeft,2528312,7,2528312.000000,9399.084961,50
JoinOrder,MaxDiffAreaHistogram,10c,2,JoinHashRight,3140339,15,3140339.000000,55319.277344,50
JoinOrder,MaxDiffAreaHistogram,10c,3,JoinHashLeft,2609129,31,2609129.000000,22246.275391,50
JoinOrder,MaxDiffAreaHistogram,10c,4,JoinHashRight,12,15,12.000000,55319.375000,50
JoinOrder,MaxDiffAreaHistogram,10c,5,TableScan,234997,84843,234997.000000,28290.000000,50
JoinOrder,MaxDiffAreaHistogram,10c,6,JoinHashLeft,36244344,17571519,36244344.000000,3088698.500000,50
JoinOrder,MaxDiffAreaHistogram,10c,7,JoinHashRight,3140339,17571519,3140339.000000,3088698.500000,50
JoinOrder,MaxDiffAreaHistogram,11a,0,JoinHashLeft,234997,32,234997.000000,0.133162,50
JoinOrder,MaxDiffAreaHistogram,11a,1,JoinHashLeft,2528312,26,2528312.000000,0.243757,50
JoinOrder,MaxDiffAreaHistogram,11a,2,TableScan,18,2,18.000000,1.800000,50
JoinOrder,MaxDiffAreaHistogram,11a,3,JoinHashLeft,2609129,132,2609129.000000,1.349918,50
JoinOrder,MaxDiffAreaHistogram,11a,4,JoinHashLeft,29997,250,29997.000000,2.900324,50
JoinOrder,MaxDiffAreaHistogram,11a,5,JoinHashLeft,4523930,10544,4523930.000000,33.717381,50
JoinOrder,MaxDiffAreaHistogram,11a,6,TableScan,4,1,4.000000,1.000000,50
JoinOrder,MaxDiffAreaHistogram,11a,7,TableScan,134170,1,134170.000000,1.000000,50
JoinOrder,MaxDiffAreaHistogram,11b,0,JoinHashLeft,234997,3,234997.000000,0.151682,50
JoinOrder,MaxDiffAreaHistogram,11b,1,JoinHashLeft,2528312,22,2528312.000000,0.243757,50
JoinOrder,MaxDiffAreaHistogram,11b,2,TableScan,18,1,18.000000,1.800000,50
JoinOrder,MaxDiffAreaHistogram,11b,3,JoinHashLeft,2609129,118,2609129.000000,1.349918,50
JoinOrder,MaxDiffAreaHistogram,11b,4,JoinHashLeft,29997,250,29997.000000,2.900324,50
JoinOrder,MaxDiffAreaHistogram,11b,5,JoinHashLeft,4523930,10544,4523930.000000,33.717381,50
JoinOrder,MaxDiffAreaHistogram,11b,6,TableScan,4,1,4.000000,1.000000,50
JoinOrder,MaxDiffAreaHistogram,11b,7,TableScan,134170,1,134170.000000,1.000000,50
JoinOrder,MaxDiffAreaHistogram,11c,0,JoinHashRight,18,14916,18.000000,2.619855,50
JoinOrder,MaxDiffAreaHistogram,11c,1,TableScan,4,3,4.000000,3.000000,50
JoinOrder,MaxDiffAreaHistogram,11c,2,JoinHashLeft,234997,249,234997.000000,0.625858,50
JoinOrder,MaxDiffAreaHistogram,11c,3,JoinHashLeft,2609129,902,2609129.000000,1.221221,50
JoinOrder,MaxDiffAreaHistogram,11c,4,JoinHashLeft,2528312,181,2528312.000000,0.617643,50
JoinOrder,MaxDiffAreaHistogram,11c,5,JoinHashLeft,29997,1414,29997.000000,2.900324,50
JoinOrder,MaxDiffAreaHistogram,11c,6,JoinHashLeft,4523930,47403,4523930.000000,33.717381,50
JoinOrder,MaxDiffAreaHistogram,11c,7,TableScan,134170,1,134170.000000,1.000000,50
JoinOrder,MaxDiffAreaHistogram,11c,8,TableScan,134170,1,134170.000000,1.000000,50
JoinOrder,MaxDiffAreaHistogram,11c,9,TableScan,134170,1,134170.000000,1.000000,50
JoinOrder,MaxDiffAreaHistogram,11d,0,JoinHashRight,18,14916,18.000000,2.619855,50
JoinOrder,MaxDiffAreaHistogram,11d,1,JoinHashLeft,234997,249,234997.000000,0.625858,50
JoinOrder,MaxDiffAreaHistogram,11d,2,TableScan,4,3,4.000000,3.000000,50
JoinOrder,MaxDiffAreaHistogram,11d,3,JoinHashLeft,2609129,902,2609129.000000,1.221221,50
JoinOrder,MaxDiffAreaHistogram,11d,4,JoinHashLeft,2528312,181,2528312.000000,0.617643,50
JoinOrder,MaxDiffAreaHistogram,11d,5,JoinHashLeft,29997,1414,29997.000000,2.900324,50
JoinOrder,MaxDiffAreaHistogram,11d,6,JoinHashLeft,4523930,47403,4523930.000000,33.717381,50
JoinOrder,MaxDiffAreaHistogram,11d,7,TableScan,134170,1,134170.000000,1.000000,50
JoinOrder,MaxDiffAreaHistogram,11d,8,TableScan,134170,1,134170.000000,1.000000,50
JoinOrder,MaxDiffAreaHistogram,11d,9,TableScan,134170,1,134170.000000,1.000000,50
JoinOrder,MaxDiffAreaHistogram,12a,0,JoinHashLeft,234997,1132,234997.000000,0.001375,50
JoinOrder,MaxDiffAreaHistogram,12a,1,JoinHashLeft,4,2,4.000000,0.001375,50
JoinOrder,MaxDiffAreaHistogram,12a,2,JoinHashLeft,113,3,113.000000,0.001375,50
JoinOrder,MaxDiffAreaHistogram,12a,3,JoinHashLeft,2528312,10080,2528312.000000,0.003231,50
JoinOrder,MaxDiffAreaHistogram,12a,4,JoinHashLeft,1380035,311617,1380035.000000,0.084728,50
JoinOrder,MaxDiffAreaHistogram,12a,5,JoinHashLeft,2609129,680629,2609129.000000,0.069834,50
JoinOrder,MaxDiffAreaHistogram,12a,6,TableScan,14835720,30801,14835720.000000,4.841460,50
JoinOrder,MaxDiffAreaHistogram,12a,7,TableScan,14835720,243843,14835720.000000,15.051114,50
JoinOrder,MaxDiffAreaHistogram,12a,8,TableScan,113,1,113.000000,1.000000,50
JoinOrder,MaxDiffAreaHistogram,12b,0,JoinHashLeft,234997,22,234997.000000,6.266724,50
JoinOrder,MaxDiffAreaHistogram,12b,1,JoinHashLeft,2609129,33,2609129.000000,26.191460,50
JoinOrder,MaxDiffAreaHistogram,12b,2,TableScan,4,1,4.000000,1.000000,50
JoinOrder,MaxDiffAreaHistogram,12b,3,TableScan,4,1,4.000000,1.000000,50
JoinOrder,MaxDiffAreaHistogram,12b,4,JoinHashLeft,1380035,10,1380035.000000,12212.694336,50
JoinOrder,MaxDiffAreaHistogram,12b,5,JoinHashLeft,14835720,581,14835720.000000,50382.535156,50
JoinOrder,MaxDiffAreaHistogram,12b,6,JoinHashLeft,2528312,4,1872962.000000,195.739304,50
JoinOrder,MaxDiffAreaHistogram,12b,7,TableScan,113,1,113.000000,1.000000,50
JoinOrder,MaxDiffAreaHistogram,12b,8,TableScan,113,1,113.000000,1.000000,50
JoinOrder,MaxDiffAreaHistogram,12c,0,JoinHashLeft,234997,12016,234997.000000,0.002813,50
JoinOrder,MaxDiffAreaHistogram,12c,1,JoinHashLeft,4,2,4.000000,0.002813,50
JoinOrder,MaxDiffAreaHistogram,12c,2,JoinHashLeft,113,5,113.000000,0.002813,50
JoinOrder,MaxDiffAreaHistogram,12c,3,JoinHashLeft,2528312,34376,2528312.000000,0.002909,50
JoinOrder,MaxDiffAreaHistogram,12c,4,JoinHashLeft,2609129,186227,2609129.000000,0.007106,50
JoinOrder,MaxDiffAreaHistogram,12c,5,JoinHashLeft,1380035,399280,1380035.000000,0.020955,50
JoinOrder,MaxDiffAreaHistogram,12c,6,TableScan,14835720,243843,14835720.000000,15.051114,50
JoinOrder,MaxDiffAreaHistogram,12c,7,TableScan,113,1,113.000000,1.000000,50
JoinOrder,MaxDiffAreaHistogram,12c,8,TableScan,14835720,13607,14835720.000000,3.336546,50
JoinOrder,MaxDiffAreaHistogram,12c,9,TableScan,14835720,39062,14835720.000000,1.990063,50
JoinOrder,MaxDiffAreaHistogram,12c,10,TableScan,14835720,30801,14835720.000000,4.841460,50
JoinOrder,MaxDiffAreaHistogram,13a,0,JoinHashLeft,14835720,312596,14835720.000000,175.168457,50
JoinOrder,MaxDiffAreaHistogram,13a,1,TableScan,113,1,113.000000,1.000000,50
JoinOrder,MaxDiffAreaHistogram,13a,2,JoinHashLeft,234997,93495,234997.000000,939.065979,50
JoinOrder,MaxDiffAreaHistogram,13a,3,JoinHashLeft,2609129,773084,2609129.000000,4165.231445,50
JoinOrder,MaxDiffAreaHistogram,13a,4,JoinHashLeft,1380035,459925,1380035.000000,12212.694336,50
JoinOrder,MaxDiffAreaHistogram,13a,5,TableScan,4,1,4.000000,1.000000,50
JoinOrder,MaxDiffAreaHistogram,13a,6,JoinHashLeft,2528312,459925,2528312.000000,12212.689453,50
JoinOrder,MaxDiffAreaHistogram,13a,7,TableScan,7,1,7.000000,1.000000,50
JoinOrder,MaxDiffAreaHistogram,13a,8,TableScan,113,1,113.000000,1.000000,50
JoinOrder,MaxDiffAreaHistogram,13b,0,JoinHashLeft,14835720,967,14835720.000000,50.695560,50
JoinOrder,MaxDiffAreaHistogram,13b,1,TableScan,113,1,113.000000,1.000000,50
JoinOrder,MaxDiffAreaHistogram,13b,2,JoinHashLeft,234997,110,234997.000000,99.656647,50
JoinOrder,MaxDiffAreaHistogram,13b,3,JoinHashLeft,2609129,313,2609129.000000,416.522949,50
JoinOrder,MaxDiffAreaHistogram,13b,4,JoinHashLeft,1380035,459925,1380035.000000,12212.694336,50
JoinOrder,MaxDiffAreaHistogram,13b,5,TableScan,4,1,4.000000,1.000000,50
JoinOrder,MaxDiffAreaHistogram,13b,6,TableScan,113,1,113.000000,1.000000,50
JoinOrder,MaxDiffAreaHistogram,13b,7,JoinHashLeft,2528312,459925,2528312.000000,12212.689453,50
JoinOrder,MaxDiffAreaHistogram,13b,8,TableScan,7,1,7.000000,1.000000,50
JoinOrder,MaxDiffAreaHistogram,13c,0,JoinHashLeft,14835720,142,14835720.000000,82.945793,50
JoinOrder,MaxDiffAreaHistogram,13c,1,TableScan,113,1,113.000000,1.000000,50
JoinOrder,MaxDiffAreaHistogram,13c,2,JoinHashLeft,234997,32,234997.000000,162.416168,50
JoinOrder,MaxDiffAreaHistogram,13c,3,JoinHashLeft,2609129,95,2609129.000000,681.491821,50
JoinOrder,MaxDiffAreaHistogram,13c,4,JoinHashLeft,1380035,459925,1380035.000000,12212.694336,50
JoinOrder,MaxDiffAreaHistogram,13c,5,TableScan,4,1,4.000000,1.000000,50
JoinOrder,MaxDiffAreaHistogram,13c,6,TableScan,113,1,113.000000,1.000000,50
JoinOrder,MaxDiffAreaHistogram,13c,7,JoinHashLeft,2200637,356442,1545287.000000,12212.689453,50
JoinOrder,MaxDiffAreaHistogram,13c,8,TableScan,7,1,7.000000,1.000000,50
JoinOrder,MaxDiffAreaHistogram,13d,0,JoinHashLeft,14835720,2345470,14835720.000000,506.957886,50
JoinOrder,MaxDiffAreaHistogram,13d,1,TableScan,113,1,113.000000,1.000000,50
JoinOrder,MaxDiffAreaHistogram,13d,2,JoinHashLeft,234997,93495,234997.000000,939.065979,50
JoinOrder,MaxDiffAreaHistogram,13d,3,JoinHashLeft,2609129,773084,2609129.000000,4165.231445,50
JoinOrder,MaxDiffAreaHistogram,13d,4,JoinHashLeft,1380035,459925,1380035.000000,12212.694336,50
JoinOrder,MaxDiffAreaHistogram,13d,5,TableScan,4,1,4.000000,1.000000,50
JoinOrder,MaxDiffAreaHistogram,13d,6,JoinHashLeft,2528312,459925,2528312.000000,12212.689453,50
JoinOrder,MaxDiffAreaHistogram,13d,7,TableScan,7,1,7.000000,1.000000,50
JoinOrder,MaxDiffAreaHistogram,13d,8,TableScan,113,1,113.000000,1.000000,50
JoinOrder,MaxDiffAreaHistogram,14a,0,JoinHashLeft,7,6,7.000000,0.000162,50
JoinOrder,MaxDiffAreaHistogram,14a,1,JoinHashLeft,2528312,14568,2528312.000000,0.001044,50
JoinOrder,MaxDiffAreaHistogram,14a,2,JoinHashLeft,134170,99623,134170.000000,0.010057,50
JoinOrder,MaxDiffAreaHistogram,14a,3,JoinHashLeft,4523930,2199635,4523930.000000,0.010057,50
JoinOrder,MaxDiffAreaHistogram,14a,4,JoinHashLeft,1380035,640551,1380035.000000,0.003151,50
JoinOrder,MaxDiffAreaHistogram,14a,5,TableScan,14835720,9863,14835720.000000,2.273782,50
JoinOrder,MaxDiffAreaHistogram,14a,6,TableScan,113,1,113.000000,1.000000,50
JoinOrder,MaxDiffAreaHistogram,14a,7,TableScan,113,1,113.000000,1.000000,50
JoinOrder,MaxDiffAreaHistogram,14a,8,TableScan,14835720,552777,14835720.000000,16.703203,50
JoinOrder,MaxDiffAreaHistogram,14a,9,TableScan,14835720,4049,14835720.000000,3.111731,50
JoinOrder,MaxDiffAreaHistogram,14a,10,TableScan,14835720,65767,14835720.000000,5.169409,50
JoinOrder,MaxDiffAreaHistogram,14a,11,TableScan,14835720,50792,14835720.000000,215.798172,50
JoinOrder,MaxDiffAreaHistogram,14a,12,TableScan,14835720,12445,14835720.000000,2.345026,50
JoinOrder,MaxDiffAreaHistogram,14a,13,TableScan,14835720,7817,14835720.000000,3.275524,50
JoinOrder,MaxDiffAreaHistogram,14a,14,TableScan,14835720,3164,14835720.000000,3.111731,50
