benchmark,histogram,query,operator_count,operator_type,real_input,real_output,estimated_input,estimated_output
TPC-DS,MaxDiffFrequencyHistogram,25,1,JoinHashLeft,14401261,1498602,14401261.000000,39108.273438
TPC-DS,MaxDiffFrequencyHistogram,25,2,JoinHashLeft,102000,15860,102000.000000,6882.074707
TPC-DS,MaxDiffFrequencyHistogram,25,3,TableScan,65535,365,65535.000000,339.844452
TPC-DS,MaxDiffFrequencyHistogram,25,4,JoinHashLeft,28800991,262336,28800992.000000,10523.580078
TPC-DS,MaxDiffFrequencyHistogram,25,5,JoinHashLeft,2875432,259123,2875432.000000,7564.600098
TPC-DS,MaxDiffFrequencyHistogram,26,0,JoinHashLeft,102000,39769,102000.000000,26973.275391
TPC-DS,MaxDiffFrequencyHistogram,26,1,JoinHashLeft,14401261,2867400,14401261.000000,71886.007812
TPC-DS,MaxDiffFrequencyHistogram,26,2,TableScan,500,494,500.000000,494.000000
TPC-DS,MaxDiffFrequencyHistogram,26,3,TableScan,500,493,500.000000,493.000000
TPC-DS,MaxDiffFrequencyHistogram,26,4,TableScan,65535,366,65535.000000,366.000000
TPC-DS,MaxDiffFrequencyHistogram,26,5,TableScan,1920800,274400,1920800.000000,274400.000000
TPC-DS,MaxDiffFrequencyHistogram,28,0,TableScan,28800991,1374815,28800992.000000,1374815.000000
TPC-DS,MaxDiffFrequencyHistogram,28,1,TableScan,28800991,1373693,28800992.000000,1373693.000000
TPC-DS,MaxDiffFrequencyHistogram,28,2,TableScan,28800991,1374966,28800992.000000,1374966.000000
TPC-DS,MaxDiffFrequencyHistogram,28,3,TableScan,28800991,1374768,28800992.000000,1374768.000000
TPC-DS,MaxDiffFrequencyHistogram,28,4,TableScan,28800991,1375524,28800992.000000,1375524.000000
TPC-DS,MaxDiffFrequencyHistogram,28,5,TableScan,28800991,1372592,28800992.000000,1253908.375000
TPC-DS,MaxDiffFrequencyHistogram,29,0,JoinHashRight,102,3,102.000000,563.942505
TPC-DS,MaxDiffFrequencyHistogram,29,1,JoinHashLeft,102000,3,102000.000000,563.941956
TPC-DS,MaxDiffFrequencyHistogram,29,2,JoinHashLeft,28800991,590830,28800992.000000,10523.580078
TPC-DS,MaxDiffFrequencyHistogram,29,3,JoinHashLeft,2875432,182689,2875432.000000,4312.481445
TPC-DS,MaxDiffFrequencyHistogram,29,4,TableScan,65535,365,65535.000000,339.844452
TPC-DS,MaxDiffFrequencyHistogram,29,5,JoinHashLeft,14401261,3776379,14401261.000000,124376.148438
TPC-DS,MaxDiffFrequencyHistogram,29,6,TableScan,73049,365,73049.000000,365.000000
TPC-DS,MaxDiffFrequencyHistogram,29,7,TableScan,73049,366,73049.000000,366.000000
TPC-DS,MaxDiffFrequencyHistogram,29,8,TableScan,73049,365,73049.000000,365.000000
TPC-DS,MaxDiffFrequencyHistogram,31,0,JoinHashLeft,250000,63379,250000.000000,32828.601562
TPC-DS,MaxDiffFrequencyHistogram,31,1,JoinHashLeft,250000,30140,250000.000000,9090.551758
TPC-DS,MaxDiffFrequencyHistogram,31,2,JoinHashLeft,250000,100122,250000.000000,33191.753906
TPC-DS,MaxDiffFrequencyHistogram,31,3,JoinHashLeft,250000,60373,250000.000000,32830.339844
TPC-DS,MaxDiffFrequencyHistogram,31,4,JoinHashLeft,28800991,839034,28800992.000000,34376.136719
TPC-DS,MaxDiffFrequencyHistogram,31,5,JoinHashLeft,250000,16757,250000.000000,8991.856445
TPC-DS,MaxDiffFrequencyHistogram,31,6,JoinHashLeft,250000,17668,250000.000000,8991.066406
TPC-DS,MaxDiffFrequencyHistogram,31,7,JoinHashLeft,7197566,384845,7197566.000000,9092.755859
TPC-DS,MaxDiffFrequencyHistogram,31,8,JoinHashLeft,28800991,1465918,28800992.000000,34756.367188
TPC-DS,MaxDiffFrequencyHistogram,31,9,JoinHashLeft,28800991,790723,28800992.000000,34377.957031
TPC-DS,MaxDiffFrequencyHistogram,31,10,TableScan,65535,366,65535.000000,366.000000
TPC-DS,MaxDiffFrequencyHistogram,31,11,JoinHashLeft,7197566,208405,7197566.000000,8994.041992
TPC-DS,MaxDiffFrequencyHistogram,31,12,JoinHashLeft,7197566,218552,7197566.000000,8993.255859
TPC-DS,MaxDiffFrequencyHistogram,32,0,JoinHashLeft,14401261,412149,14401261.000000,0.000039
TPC-DS,MaxDiffFrequencyHistogram,32,1,JoinHashLeft,102000,50979,102000.000000,0.000039
TPC-DS,MaxDiffFrequencyHistogram,32,2,TableScan,65535,91,65535.000000,0.000000
TPC-DS,MaxDiffFrequencyHistogram,34,0,JoinHashLeft,500000,1200,500000.000000,221.745071
TPC-DS,MaxDiffFrequencyHistogram,34,1,TableScan,102,31,102.000000,31.000002
TPC-DS,MaxDiffFrequencyHistogram,34,2,JoinHashLeft,28800991,3793832,28800992.000000,4541.673828
TPC-DS,MaxDiffFrequencyHistogram,34,3,TableScan,7200,4800,7200.000000,4800.000000
TPC-DS,MaxDiffFrequencyHistogram,34,4,TableScan,73049,365,73049.000000,365.000000
TPC-DS,MaxDiffFrequencyHistogram,34,5,TableScan,73049,366,73049.000000,366.000000
TPC-DS,MaxDiffFrequencyHistogram,34,6,TableScan,73049,365,73049.000000,365.000000
TPC-DS,MaxDiffFrequencyHistogram,35,0,JoinHashLeft,28800991,3099118,28800992.000000,96115.937500
TPC-DS,MaxDiffFrequencyHistogram,35,1,JoinHashRight,250000,482697,250000.000000,482694.750000
TPC-DS,MaxDiffFrequencyHistogram,35,2,JoinHashRight,500000,482697,500000.000000,482695.187500
TPC-DS,MaxDiffFrequencyHistogram,35,3,JoinHashLeft,7197566,804611,7197566.000000,25145.269531
TPC-DS,MaxDiffFrequencyHistogram,35,4,JoinHashLeft,14401261,1592130,14401261.000000,50073.425781
TPC-DS,MaxDiffFrequencyHistogram,35,5,TableScan,65535,365,65535.000000,339.844452
TPC-DS,MaxDiffFrequencyHistogram,35,6,JoinHashLeft,1920800,426807,1920800.000000,426806.250000
TPC-DS,MaxDiffFrequencyHistogram,35,7,JoinHashRight,500000,426807,500000.000000,426806.250000
TPC-DS,MaxDiffFrequencyHistogram,37,0,JoinHashLeft,14401261,536,14401261.000000,0.002032
TPC-DS,MaxDiffFrequencyHistogram,37,1,JoinHashLeft,133110000,4590000,133110000.000000,0.001124
TPC-DS,MaxDiffFrequencyHistogram,37,2,JoinHashLeft,102000,51000,102000.000000,0.000428
TPC-DS,MaxDiffFrequencyHistogram,37,3,TableScan,65535,61,65535.000000,0.000000
TPC-DS,MaxDiffFrequencyHistogram,39a,0,JoinHashRight,10,2040000,10.000000,247042.515625
TPC-DS,MaxDiffFrequencyHistogram,39a,1,JoinHashRight,10,2040000,10.000000,225088.265625
TPC-DS,MaxDiffFrequencyHistogram,39a,2,JoinHashRight,102000,2040000,102000.000000,247042.531250
TPC-DS,MaxDiffFrequencyHistogram,39a,3,JoinHashRight,102000,2040000,102000.000000,225088.250000
TPC-DS,MaxDiffFrequencyHistogram,39a,4,JoinHashLeft,133110000,2040000,133110000.000000,247092.906250
TPC-DS,MaxDiffFrequencyHistogram,39a,5,JoinHashLeft,133110000,2040000,133110000.000000,225133.812500
TPC-DS,MaxDiffFrequencyHistogram,39a,6,TableScan,65535,365,65535.000000,339.844452
TPC-DS,MaxDiffFrequencyHistogram,39b,0,JoinHashRight,10,2040000,10.000000,225088.265625
TPC-DS,MaxDiffFrequencyHistogram,39b,1,JoinHashRight,10,2040000,10.000000,247042.515625
TPC-DS,MaxDiffFrequencyHistogram,39b,2,JoinHashRight,102000,2040000,102000.000000,225088.250000
TPC-DS,MaxDiffFrequencyHistogram,39b,3,JoinHashRight,102000,2040000,102000.000000,247042.531250
TPC-DS,MaxDiffFrequencyHistogram,39b,4,JoinHashLeft,133110000,2040000,133110000.000000,225133.812500
TPC-DS,MaxDiffFrequencyHistogram,39b,5,JoinHashLeft,133110000,2040000,133110000.000000,247092.906250
TPC-DS,MaxDiffFrequencyHistogram,39b,6,TableScan,65535,365,65535.000000,339.844452
TPC-DS,MaxDiffFrequencyHistogram,41,0,TableScan,102000,1328,102000.000000,1243.011963
TPC-DS,MaxDiffFrequencyHistogram,42,0,TableScan,102000,1847,102000.000000,1847.000000
TPC-DS,MaxDiffFrequencyHistogram,42,1,TableScan,65535,366,65535.000000,366.000000
TPC-DS,MaxDiffFrequencyHistogram,42,2,JoinHashLeft,28800991,881977,28800992.000000,11333.492188
TPC-DS,MaxDiffFrequencyHistogram,43,0,TableScan,102,30,102.000000,102.000000
TPC-DS,MaxDiffFrequencyHistogram,43,1,JoinHashLeft,28800991,5519143,28800992.000000,137983.328125
TPC-DS,MaxDiffFrequencyHistogram,43,2,TableScan,65535,366,65535.000000,366.000000
TPC-DS,MaxDiffFrequencyHistogram,45,0,JoinHashRight,250000,17238,250000.000000,8349.103516
TPC-DS,MaxDiffFrequencyHistogram,45,1,JoinHashLeft,102000,50202,102000.000000,8351.139648
TPC-DS,MaxDiffFrequencyHistogram,45,2,TableScan,102000,10,102000.000000,10.000000
TPC-DS,MaxDiffFrequencyHistogram,45,3,JoinHashLeft,7197566,211088,7197566.000000,8351.137695
TPC-DS,MaxDiffFrequencyHistogram,45,4,JoinHashLeft,500000,17238,500000.000000,8349.090820
TPC-DS,MaxDiffFrequencyHistogram,45,5,TableScan,65535,365,65535.000000,339.844452
TPC-DS,MaxDiffFrequencyHistogram,48,0,JoinHashLeft,1920800,120388,1920800.000000,214.079071
TPC-DS,MaxDiffFrequencyHistogram,48,1,TableScan,250000,242351,250000.000000,242351.000000
TPC-DS,MaxDiffFrequencyHistogram,48,2,JoinHashRight,102,5389310,102.000000,131773.609375
TPC-DS,MaxDiffFrequencyHistogram,48,3,JoinHashLeft,28800991,5519143,28800992.000000,137983.328125
TPC-DS,MaxDiffFrequencyHistogram,48,4,TableScan,65535,366,65535.000000,366.000000
TPC-DS,MaxDiffFrequencyHistogram,50,0,JoinHashRight,102,20932,102.000000,11425.613281
TPC-DS,MaxDiffFrequencyHistogram,50,1,JoinHashLeft,73049,206,73049.000000,1822.973633
TPC-DS,MaxDiffFrequencyHistogram,50,2,JoinHashLeft,28800991,334371,28800992.000000,13150.079102
TPC-DS,MaxDiffFrequencyHistogram,50,3,JoinHashLeft,2875432,29250,2875432.000000,1095.802246
TPC-DS,MaxDiffFrequencyHistogram,50,4,TableScan,65535,365,65535.000000,339.844452
TPC-DS,MaxDiffFrequencyHistogram,52,0,TableScan,102000,1847,102000.000000,1847.000000
TPC-DS,MaxDiffFrequencyHistogram,52,1,TableScan,65535,366,65535.000000,366.000000
TPC-DS,MaxDiffFrequencyHistogram,52,2,JoinHashLeft,28800991,881977,28800992.000000,11333.492188
TPC-DS,MaxDiffFrequencyHistogram,55,0,TableScan,102000,1800,102000.000000,1809.666626
TPC-DS,MaxDiffFrequencyHistogram,55,1,JoinHashLeft,28800991,879791,28800992.000000,10523.580078
TPC-DS,MaxDiffFrequencyHistogram,55,2,TableScan,65535,365,65535.000000,339.844452
TPC-DS,MaxDiffFrequencyHistogram,62,0,JoinHashRight,42,1445393,42.000000,32413.951172
TPC-DS,MaxDiffFrequencyHistogram,62,1,JoinHashRight,20,1445442,20.000000,32422.158203
TPC-DS,MaxDiffFrequencyHistogram,62,2,JoinHashLeft,7197566,1445718,7197566.000000,32437.929688
TPC-DS,MaxDiffFrequencyHistogram,62,3,TableScan,65535,366,65535.000000,329.293182
TPC-DS,MaxDiffFrequencyHistogram,65,0,JoinHashRight,102000,2264281,102000.000000,118557.945312
TPC-DS,MaxDiffFrequencyHistogram,65,1,JoinHashRight,102,2264281,102.000000,118557.851562
TPC-DS,MaxDiffFrequencyHistogram,65,2,JoinHashLeft,28800991,5443210,28800992.000000,124144.750000
TPC-DS,MaxDiffFrequencyHistogram,65,3,TableScan,65535,365,65535.000000,329.293182
TPC-DS,MaxDiffFrequencyHistogram,69,0,JoinHashLeft,1920800,45504,1920800.000000,5448.551758
TPC-DS,MaxDiffFrequencyHistogram,69,1,JoinHashLeft,7197566,210950,7197566.000000,8351.137695
